SS600279,重庆港九,
SS600280,南京中商,
SS600281,太化股份,
SS600282,南钢股份,
SS600283,钱江水利,
SS600284,浦东建设,
SS600285,羚锐制药,
SS600287,江苏舜天,
SS600288,大恒科技,
SS600289,亿阳信通,
SS600290,华仪电气,
SS600291,西水股份,
SS600292,九龙电力,
SS600293,三峡新材,
SS600295,鄂尔多斯,
SS600297,美罗药业,
SS600298,安琪酵母,
SS600299,*ST新材,
SS600300,维维股份,
SS600301,*ST南化,
SS600302,标准股份,
SS600303,曙光股份,
SS600305,恒顺醋业,
SS600306,商业城,
SS600307,酒钢宏兴,
SS600308,华泰股份,
SS600309,烟台万华,
SS600310,桂东电力,
SS600311,荣华实业,
SS600312,平高电气,
SS600315,上海家化,
SS600316,洪都航空,
SS600317,营口港,
SS600318,巢东股份,
SS600319,亚星化学,
SS600320,振华重工,
SS600321,国栋建设,
SS600322,天房发展,
SS600323,南海发展,
SS600325,华发股份,
SS600326,西藏天路,
SS600327,大厦股份,
SS600328,兰太实业,
SS600329,中新药业,
SS600330,天通股份,
SS600331,宏达股份,
SS600332,广州药业,
SS600333,长春燃气,
SS600335,*ST盛工,
SS600336,澳柯玛,
SS600337,美克股份,
SS600338,ST珠峰,
SS600339,天利高新,
SS600340,ST国祥,
SS600343,航天动力,
SS600345,长江通信,
SS600346,大橡塑,
SS600348,国阳新能,
SS600350,山东高速,
SS600351,亚宝药业,
SS600352,浙江龙盛,
SS600353,旭光股份,
SS600354,敦煌种业,
SS600355,*ST精伦,
SS600356,恒丰纸业,
SS600358,国旅联合,
SS600359,新农开发,
SS600360,华微电子,
SS600361,华联综超,
SS600362,江西铜业,
SS600363,联创光电,
SS600365,*ST通葡,
SS600366,宁波韵升,
SS600367,红星发展,
SS600368,五洲交通,
SS600369,西南证券,
SS600370,三房巷,
SS600371,万向德农,
SS600372,ST昌河,
SS600373,*ST鑫新,
SS600375,星马汽车,
SS600376,首开股份,
SS600377,宁沪高速,
SS600378,天科股份,
SS600379,宝光股份,
SS600380,健康元,
SS600381,ST贤成,
SS600382,广东明珠,
SS600383,金地集团,
SS600385,ST金泰,
SS600386,北巴传媒,
SS600387,海越股份,
SS600388,龙净环保,
SS600389,江山股份,
SS600390,金瑞科技,
SS600391,成发科技,
SS600392,太工天成,
SS600393,东华实业,
SS600395,盘江股份,
SS600396,金山股份,
