HK0224,建生国际,
HK0225,博富临置业,
HK0226,力宝,
HK0227,第一上海,
HK0228,中能控股,
HK0229,利民实业,
HK0230,五矿建设,
HK0231,盛明国际控股,
HK0232,中国航空工业国际,
HK0233,铭源医疗,
HK0234,新世纪集团,
HK0235,中策集团,
HK0236,香港生力?,
HK0237,安全货仓,
HK0238,长兴国际,
HK0239,白花油,
HK0240,利基控股,
HK0241,中信２１世纪,
HK0242,信德集团,
HK0243,QPL INT'L,
HK0244,先施,
HK0245,中国七星购物,
HK0246,瑞金矿业,
HK0247,TST PROPERTIES,
HK0248,香港通讯国际控股,
HK0250,中国数码信息,
HK0251,爪哇控股,
HK0252,华信地产财务,
HK0253,顺豪资源集团,
HK0254,中国户外媒体集团,
HK0255,龙记集团,
HK0256,中国海淀,
HK0257,中国光大国际,
HK0258,汤臣集团,
HK0259,亿都（国际控股）,
HK0260,中油洁能,
HK0261,中建科技国际,
HK0262,迪臣发展国际,
HK0263,中国云锡矿业,
HK0264,卓高国际,
HK0265,南华集团,
HK0266,天德地产,
HK0267,中信泰富,
HK0268,金蝶国际,
HK0269,中国木业,
HK0270,粤海投资,
HK0271,丹枫控股,
HK0272,瑞安房地产,
HK0273,威利国际,
HK0274,高宝绿色,
HK0275,锦兴集团,
HK0276,蒙古能源,
HK0277,太兴置业,
HK0278,华厦置业,
HK0279,民丰企业,
HK0280,景福集团,
HK0281,川河集团,
HK0282,壹传媒,
HK0283,高银地产,
HK0285,比亚迪电子,
HK0286,金匡企业,
HK0287,永发置业,
HK0288,科士威集团,
HK0289,WING ON CO,
HK0290,中国富强集团,
HK0291,华润创业,
HK0292,泛海酒店,
HK0293,国泰航空,
HK0294,长江制衣,
HK0295,江山控股,
HK0296,英皇娱乐酒店,
HK0297,中化化肥,
HK0298,庄士中国,
HK0299,中讯软件,
HK0300,昆明机床,
HK0302,永亨银行,
HK0303,VTECH HOLDINGS,
HK0304,宜进利（集团）,
HK0305,俊山五菱汽车,
HK0306,冠忠巴士集团,
HK0307,优派能源发展,
HK0308,香港中旅,
HK0309,劳氏环保,
HK0310,嘉进投资国际,
HK0311,联泰控股,
HK0312,岁宝百货,
HK0313,裕田中国,
HK0315,数码通电讯,
HK0316,东方海外国际,
HK0317,广州广船国际股份,
HK0318,黄河实业,
HK0319,勤美达国际,
HK0320,金宝通,
HK0321,德永佳集团,
HK0322,康师傅控股,
HK0323,马鞍山钢铁股份,
HK0325,创生控股,
HK0326,中国星集团,
HK0327,百富环球,
HK0328,ALCO HOLDINGS,
HK0329,　龙国际,
HK0330,思捷环球,
HK0331,春天百货,
HK0332,NGAI LIK IND,
HK0333,黛丽斯国际,
HK0334,唯冠国际,
HK0335,美建集团,
HK0336,华宝国际,
HK0337,盛高置地,
HK0338,上海石油化工股份,
HK0339,安利时投资,
HK0340,中国矿业,
HK0341,大家乐集团,
HK0342,新海能源,
HK0343,文化传信,
HK0345,VITASOY INT'L,
HK0346,中联能源,
