sn  hostname    ip  batch   idc status
6CU33021B8  xen-b0b2011-29-b.zue    10.228.179.92   zue-1128台B2    ZUE ok

6CU33021B9  xen-b0b2012-29-b.zue    10.228.179.93   zue-1128台B2    ZUE ok

6CU33021MP  xen-a0x2113-229-b.zue   10.214.176.11   zue-1128台B2    ZUE 

6CU330202S  xen-a0x2114-229-b.zue   10.214.176.12   zue-1128台B2    ZUE 

6CU33020NR  xen-a0x2115-229-b.zue   10.214.176.13   zue-1128台B2    ZUE 

6CU33021HL  xen-a0x2116-229-b.zue   10.214.176.14   zue-1128台B2    ZUE 

6CU33021MT  xen-a0x2117-229-b.zue   10.214.176.15   zue-1128台B2    ZUE 

6CU33021MV  xen-a0x2118-229-b.zue   10.214.176.16   zue-1128台B2    ZUE 

6CU330220B  xen-a0x2119-229-b.zue   10.214.176.17   zue-1128台B2    ZUE 

6CU3302163  xen-a0x2120-229-b.zue   10.214.176.18   zue-1128台B2    ZUE 

6CU33021MY  xen-a0x2201-229-b.zue   10.214.176.19   zue-1128台B2    ZUE 

6CU33021MZ  xen-a0x2202-229-b.zue   10.214.176.20   zue-1128台B2    ZUE 

6CU33021N0  xen-a0x2203-229-b.zue   10.214.176.21   zue-1128台B2    ZUE 

6CU33021N1  xen-a0x2204-229-b.zue   10.214.176.22   zue-1128台B2    ZUE 

6CU3302265  xen-a0x2205-229-b.zue   10.214.176.23   zue-1128台B2    ZUE 

6CU330207Z  xen-a0x2206-229-b.zue   10.214.176.24   zue-1128台B2    ZUE 

6CU33020D7  xen-a0x2207-229-b.zue   10.214.176.25   zue-1128台B2    ZUE 

6CU330215X  xen-a0x2208-229-b.zue   10.214.176.26   zue-1128台B2    ZUE 

6CU33021N6  xen-a0x2209-229-b.zue   10.214.176.27   zue-1128台B2    ZUE 

6CU33021N7  xen-a0x2210-229-b.zue   10.214.176.28   zue-1128台B2    ZUE 

6CU33021N8  xen-a0x2211-229-b.zue   10.214.176.29   zue-1128台B2    ZUE 

6CU3301ZW9  xen-a0x2212-229-b.zue   10.214.176.30   zue-1128台B2    ZUE 

6CU3301ZT8  xen-a0x2213-229-b.zue   10.214.176.31   zue-1128台B2    ZUE 

6CU330203T  xen-a0x2214-229-b.zue   10.214.176.32   zue-1128台B2    ZUE 

6CU33021GX  xen-a0x2215-229-b.zue   10.214.176.33   zue-1128台B2    ZUE 

6CU33021NF  xen-a0x2216-229-b.zue   10.214.176.34   zue-1128台B2    ZUE 

6CU33021NG  xen-a0x2217-229-b.zue   10.214.176.35   zue-1128台B2    ZUE 

6CU33021NH  xen-a0x2218-229-b.zue   10.214.176.36   zue-1128台B2    ZUE 

6CU33021NJ  xen-a0x2219-229-b.zue   10.214.176.37   zue-1128台B2    ZUE 

6CU33021NK  xen-a0x2220-229-b.zue   10.214.176.38   zue-1128台B2    ZUE 

6CU33021NL  xen-a0x2301-230-b.zue   10.214.176.39   zue-1128台B2    ZUE 

6CU33021NM  xen-a0x2302-230-b.zue   10.214.176.40   zue-1128台B2    ZUE 

6CU33021NN  xen-a0x2303-230-b.zue   10.214.176.41   zue-1128台B2    ZUE 

6CU330221C  xen-a0x2304-230-b.zue   10.214.176.42   zue-1128台B2    ZUE 

6CU33021NQ  xen-a0x2305-230-b.zue   10.214.176.43   zue-1128台B2    ZUE 

6CU33021NR  xen-a0x2306-230-b.zue   10.214.176.44   zue-1128台B2    ZUE 

6CU33021NS  xen-a0x2307-230-b.zue   10.214.176.45   zue-1128台B2    ZUE 

6CU33021NT  xen-a0x2308-230-b.zue   10.214.176.46   zue-1128台B2    ZUE 

6CU33021NV  xen-a0x2309-230-b.zue   10.214.176.47   zue-1128台B2    ZUE 

6CU33021NW  xen-a0x2310-230-b.zue   10.214.176.48   zue-1128台B2    ZUE 

6CU33021K7  xen-a0x2311-230-b.zue   10.214.176.49   zue-1128台B2    ZUE 

6CU33021NY  xen-a0x2312-230-b.zue   10.214.176.50   zue-1128台B2    ZUE 

6CU33021NZ  xen-a0x2313-230-b.zue   10.214.176.51   zue-1128台B2    ZUE 

6CU33021P0  xen-a0x2314-230-b.zue   10.214.176.52   zue-1128台B2    ZUE 

6CU33021P1  xen-a0x2315-230-b.zue   10.214.176.53   zue-1128台B2    ZUE 

6CU3302033  xen-a0x2316-230-b.zue   10.214.176.54   zue-1128台B2    ZUE 

6CU33021P3  xen-a0x2317-230-b.zue   10.214.176.55   zue-1128台B2    ZUE 

6CU33021P4  xen-a0x2318-230-b.zue   10.214.176.56   zue-1128台B2    ZUE 

6CU33021XG  xen-a0x2319-230-b.zue   10.214.176.57   zue-1128台B2    ZUE 

6CU33021P6  xen-a0x2320-230-b.zue   10.214.176.58   zue-1128台B2    ZUE 

6CU33021P7  xen-b0b1301-26-b.zue    10.228.188.97   zue-1128台B2    ZUE 

6CU33021P8  xen-b0b1302-26-b.zue    10.228.188.98   zue-1128台B2    ZUE 

6CU33021P9  xen-b0b1303-26-b.zue    10.228.188.99   zue-1128台B2    ZUE 

6CU33021PB  xen-b0b1304-26-b.zue    10.228.188.100  zue-1128台B2    ZUE 

6CU33021PC  xen-b0b1305-26-b.zue    10.228.188.101  zue-1128台B2    ZUE 

6CU33021PD  xen-b0b1306-26-b.zue    10.228.188.102  zue-1128台B2    ZUE 

6CU33021PF  xen-b0b1307-26-b.zue    10.228.188.103  zue-1128台B2    ZUE 

6CU33021PG  xen-b0b1308-26-b.zue    10.228.188.104  zue-1128台B2    ZUE 

6CU33021PH  xen-b0b1309-26-b.zue    10.228.188.105  zue-1128台B2    ZUE 

6CU33021PJ  xen-b0b1310-26-b.zue    10.228.188.106  zue-1128台B2    ZUE 

6CU33021PK  xen-b0b1311-26-b.zue    10.228.188.107  zue-1128台B2    ZUE 

6CU33021PL  xen-b0b1312-26-b.zue    10.228.188.108  zue-1128台B2    ZUE 

6CU33021PM  xen-b0b1313-26-b.zue    10.228.188.109  zue-1128台B2    ZUE ok

6CU33021PN  xen-b0b1314-26-b.zue    10.228.188.110  zue-1128台B2    ZUE ok

6CU33021PP  xen-b0b1315-26-b.zue    10.228.188.111  zue-1128台B2    ZUE ok

6CU33021PQ  xen-b0b1316-26-b.zue    10.228.188.112  zue-1128台B2    ZUE ok

